binomial,BM_kg,BMR_W,MaxLon_yr,BMR_residual,lon_residual,BMR_z,lon_z,PES,source
Myodes rutilus,0.0199,0.351,2.1,0.313,-0.4413,1.7731,-1.6174,0.1557,AnAge
Cricetomys gambianus,1.6867,6.024,8.4,0.1552,-0.1992,0.8791,-0.7302,0.149,AnAge
Bos taurus,347.0,306.77,20.0,0.1909,-0.2545,1.0812,-0.9328,0.1484,AnAge
Procyon cancrivorus,1.16,2.588,19.0,-0.0943,0.1856,-0.5339,0.6802,0.1463,AnAge
Pedetes capensis,2.3,4.427,20.0,-0.0759,0.1524,-0.4298,0.5584,0.1286,AnAge
Tarsius syrichta,0.1159,0.4282,15.0,-0.1529,0.2698,-0.8659,0.9887,0.1229,PanTHERIA
Notomys alexis,0.0323,0.252,6.4,0.0178,0.0035,0.1007,0.0129,0.1136,AnAge
Geomys bursarius,0.197,0.769,12.0,-0.065,0.1298,-0.3683,0.4759,0.1076,AnAge
Microtus guentheri,0.0438,0.447,3.9,0.1711,-0.2363,0.9693,-0.866,0.1033,AnAge
Loris tardigradus,0.284,0.714,21.6,-0.212,0.3555,-1.2009,1.3027,0.1018,AnAge
Peromyscus polionotus,0.012,0.12,5.5,0.0062,0.018,0.0353,0.066,0.1013,AnAge
Spalacopus cyanus,0.1262,0.561,10.8,-0.0622,0.1202,-0.3526,0.4406,0.088,AnAge
Blarina brevicauda,0.0209,0.344,2.2,0.2895,-0.4249,1.6399,-1.5573,0.0826,AnAge
Macropus rufus,28.5,31.353,25.0,-0.0154,0.0451,-0.0874,0.1653,0.0779,AnAge
Antrozous pallidus,0.022,0.104,14.8,-0.2461,0.3987,-1.394,1.4613,0.0674,AnAge
Sigmodon hispidus,0.1596,1.085,5.2,0.1505,-0.2163,0.8527,-0.7925,0.0602,AnAge
Diphylla ecaudata,0.0281,0.1893,8.0,-0.0628,0.1117,-0.3559,0.4093,0.0534,AnAge
Microtus oeconomus,0.0328,0.566,1.8,0.3644,-0.5486,2.0639,-2.0107,0.0532,AnAge
Xerus inauris,0.5285,1.775,11.5,-0.0114,0.0313,-0.0644,0.1148,0.0504,AnAge
Ursus arctos,196.2875,116.0739,40.0,-0.0524,0.0927,-0.297,0.3398,0.0428,AnAge
